Cidade,Probabilidade_Estacionaria
"Bacabal, MA, BRAZIL",0.003152066974611794
"Luís Eduardo Magalhães, BA, BRAZIL",0.0031504312675076345
"Ji-Paraná, RO, BRAZIL",0.003150373472450599
"Barreiras, BA, BRAZIL",0.003149593998182955
"Guarapuava, PR, BRAZIL",0.003149437235043424
"São Pedro da Aldeia, RJ, BRAZIL",0.0031493443752476365
"Almirante Tamandaré, PR, BRAZIL",0.003149191524322199
"Indaiatuba, SP, BRAZIL",0.0031490311849358206
"Sabará, MG, BRAZIL",0.003148488252148871
"Colombo, PR, BRAZIL",0.003148263525964259
"Feira de Santana, BA, BRAZIL",0.003148077140021944
"Barretos, SP, BRAZIL",0.003147727278254964
"Sarandi, PR, BRAZIL",0.0031476808333443947
"Erechim, RS, BRAZIL",0.003147673267472255
"Cotia, SP, BRAZIL",0.003147452383341996
"Araras, SP, BRAZIL",0.0031469152487892775
"Santarém, PA, BRAZIL",0.003145963858419961
"Itacoatiara, AM, BRAZIL",0.0031454954854370663
"Umuarama, PR, BRAZIL",0.0031453186347896642
"Tangará da Serra, MT, BRAZIL",0.003143205833000357
"Limeira, SP, BRAZIL",0.0031429503063148175
"Maceió, AL, BRAZIL",0.0031424125522845634
"Parnamirim, RN, BRAZIL",0.0031423941557524346
"Caucaia, CE, BRAZIL",0.0031422424125304026
"Balsas, MA, BRAZIL",0.003141398221400779
"Ilhéus, BA, BRAZIL",0.003140634768034334
"Pouso Alegre, MG, BRAZIL",0.0031405932310922162
"Vitória da Conquista, BA, BRAZIL",0.003140378297039182
"Lavras, MG, BRAZIL",0.0031400200182042522
"Tatuí, SP, BRAZIL",0.0031400012282328917
"Valinhos, SP, BRAZIL",0.0031399091881158738
"Brasília, DF, BRAZIL",0.003138870948460108
"Itaperuna, RJ, BRAZIL",0.0031375703838758735
"Belford Roxo, RJ, BRAZIL",0.0031366184745576643
"Divinópolis, MG, BRAZIL",0.003135947833819422
"Santa Bárbara d'Oeste, SP, BRAZIL",0.003135173399588915
"Maricá, RJ, BRAZIL",0.003133791462700593
"Porto Velho, RO, BRAZIL",0.0031334961529165266
"Bragança, PA, BRAZIL",0.003132717833625824
"Volta Redonda, RJ, BRAZIL",0.003132629193428667
"Araguaína, TO, BRAZIL",0.003132589477467795
"Barcarena, PA, BRAZIL",0.003131825476916897
"São Gonçalo do Amarante, RN, BRAZIL",0.0031317676286883706
"Linhares, ES, BRAZIL",0.003130719436402237
"Petrolina, PE, BRAZIL",0.0031302817595369238
"Paranaguá, PR, BRAZIL",0.0031300887316499464
"Cubatão, SP, BRAZIL",0.0031292818941456506
"Blumenau, SC, BRAZIL",0.0031279937205692426
"Natal, RN, BRAZIL",0.0031276860793151336
"Barra Mansa, RJ, BRAZIL",0.003127542387574866
"Ananindeua, PA, BRAZIL",0.003127114553457486
"Toledo, PR, BRAZIL",0.003126436497062499
"Juazeiro, BA, BRAZIL",0.0031263885699239356
"Araucária, PR, BRAZIL",0.0031257226024656772
"Birigui, SP, BRAZIL",0.00312538172088313
"Camaçari, BA, BRAZIL",0.003124924476738337
"Açailândia, MA, BRAZIL",0.0031246641389824233
"Osasco, SP, BRAZIL",0.003124542100320827
"Rio Claro, SP, BRAZIL",0.0031242612850338894
"Chapecó, SC, BRAZIL",0.0031240952935173
"Araçatuba, SP, BRAZIL",0.003122848360214392
"Arapiraca, AL, BRAZIL",0.0031218834660464456
"Itabira, MG, BRAZIL",0.003121750793168417
"Rio de Janeiro, RJ, BRAZIL",0.0031217037854574504
"Jaraguá do Sul, SC, BRAZIL",0.0031204540288698288
"Colatina, ES, BRAZIL",0.003118963544040121
"Florianópolis, SC, BRAZIL",0.0031183539309888675
"Brusque, SC, BRAZIL",0.003118070312347453
"Maringá, PR, BRAZIL",0.0031174126147505265
"Piraquara, PR, BRAZIL",0.0031173726632512033
"Jacareí, SP, BRAZIL",0.0031163285075287046
"Jataí, GO, BRAZIL",0.003115901201630962
"São José dos Campos, SP, BRAZIL",0.0031158118757105523
"Guaratinguetá, SP, BRAZIL",0.003115635724325909
"Arapongas, PR, BRAZIL",0.00311524523477342
"Ourinhos, SP, BRAZIL",0.003112602318736934
"Sete Lagoas, MG, BRAZIL",0.0031124306031010927
"Curitiba, PR, BRAZIL",0.003112150528844238
"Piracicaba, SP, BRAZIL",0.003110431160248333
"Senador Canedo, GO, BRAZIL",0.0031098142944680643
"Santa Rita, PB, BRAZIL",0.0031094025702520576
"Dourados, MS, BRAZIL",0.003107562287830232
"Palmas, TO, BRAZIL",0.0031075534199338116
"Passo Fundo, RS, BRAZIL",0.003107089834946936
"Campo Largo, PR, BRAZIL",0.0031058755611815484
"Rondonópolis, MT, BRAZIL",0.003102990956697171
"Cachoeiro de Itapemirim, ES, BRAZIL",0.0031019430731236354
"Cariacica, ES, BRAZIL",0.003101810214483852
"Patos de Minas, MG, BRAZIL",0.0031003367572635747
"Jequié, BA, BRAZIL",0.0030987583540239543
"Timon, MA, BRAZIL",0.003096871582746941
"Santo André, SP, BRAZIL",0.0030964355628039
"Catalão, GO, BRAZIL",0.003095519898357115
"Campina Grande, PB, BRAZIL",0.003094832155358792
"Salvador, BA, BRAZIL",0.003093751790338172
"Campo Grande, MS, BRAZIL",0.0030929115433352273
"Cametá, PA, BRAZIL",0.003092533509082419
"Bento Gonçalves, RS, BRAZIL",0.003091857136741408
"Cuiabá, MT, BRAZIL",0.0030894411333566474
"Araguari, MG, BRAZIL",0.00308870209869445
"Araxá, MG, BRAZIL",0.0030866265127006327
"Varginha, MG, BRAZIL",0.003085577628767825
"Marabá, PA, BRAZIL",0.003084360056181728
"Itumbiara, GO, BRAZIL",0.003083791085119077
"Uberlândia, MG, BRAZIL",0.0030827939200193683
"Itapipoca, CE, BRAZIL",0.003080018088728934
"Aparecida de Goiânia, GO, BRAZIL",0.003079576432103654
"Águas Lindas de Goiás, GO, BRAZIL",0.003076088738973192
"Uruguaiana, RS, BRAZIL",0.003075206209206388
"Vitória, ES, BRAZIL",0.003075183938238888
"Ibirité, MG, BRAZIL",0.003071793575702516
"Joinville, SC, BRAZIL",0.003071750156102369
"Atibaia, SP, BRAZIL",0.00307128082865387
"Codó, MA, BRAZIL",0.003071262646847085
"Hortolândia, SP, BRAZIL",0.0030705009520285466
"Contagem, MG, BRAZIL",0.0030699580087139374
"Itabaiana, SE, BRAZIL",0.003069414569388578
"Caxias, MA, BRAZIL",0.0030668483770437257
"Crato, CE, BRAZIL",0.003066040490335018
"Planaltina, GO, BRAZIL",0.0030647095534949106
"Botucatu, SP, BRAZIL",0.003064343841153668
"Valparaíso de Goiás, GO, BRAZIL",0.003062695177865404
"Manacapuru, AM, BRAZIL",0.003057641721118035
"Mauá, SP, BRAZIL",0.00305673947380737
"Breves, PA, BRAZIL",0.0030505934945631997
"Campinas, SP, BRAZIL",0.0030490013859915707
"Poços de Caldas, MG, BRAZIL",0.0030487423957503653
"Garanhuns, PE, BRAZIL",0.003046222324691311
"Caraguatatuba, SP, BRAZIL",0.003045874649173972
"Conselheiro Lafaiete, MG, BRAZIL",0.0030454577930618346
"Castanhal, PA, BRAZIL",0.0030421938023259907
